iccid,dn,portout_date,activation_date,activation_source,organization,platform,offer_amount,recharge_count,recharge_average,resolved_activation_date,activation_corrected,tenure_days,early_abandonment,segment,recharge_activity
8902000000000000001,9800000001,2026-08-05,2026-08-01,MEASURED,Carrier North,financed-device,200,0,0,2026-08-01,False,4,True,FINANCED_DEVICE,INACTIVE
8902000000000000002,9800000002,2026-08-10,2026-07-15,MEASURED,Carrier North,portability-retail,100,2,75,2026-07-15,False,26,True,PORTABILITY,ACTIVE
8902000000000000003,9800000003,2026-08-12,2026-02-01,INFERRED,Carrier West,dealer,150,5,110,2026-02-01,False,192,False,OTHER,ACTIVE
8902000000000000004,9800000004,2026-08-15,,ESTIMATED,Carrier South,direct,100,0,0,2026-08-14,True,1,True,OTHER,INACTIVE
8902000000000000005,9800000005,2026-08-18,2026-08-18,INFERRED,Carrier North,financed-device,200,1,50,2026-08-17,True,1,True,FINANCED_DEVICE,ACTIVE
8902000000000000006,9800000006,2026-08-20,2025-06-01,MEASURED,Carrier East,portability-branches,100,8,95,2025-06-01,False,445,False,PORTABILITY,ACTIVE
8902000000000000007,9800000007,2026-08-22,2026-07-01,MEASURED,Carrier West,dealer,150,0,0,2026-07-01,False,52,False,OTHER,INACTIVE
8902000000000000008,9800000008,2026-08-24,2026-08-01,INFERRED,Carrier South,financed-device,200,3,60,2026-08-01,False,23,True,FINANCED_DEVICE,ACTIVE
8902000000000000009,9800000009,2026-08-25,2024-05-10,MEASURED,Carrier East,direct,100,12,120,2024-05-10,False,837,False,OTHER,ACTIVE
8902000000000000010,9800000010,2026-08-28,2026-06-15,MEASURED,Carrier North,portability-retail,100,0,0,2026-06-15,False,74,False,PORTABILITY,INACTIVE
8902000000000000011,9800000011,2026-08-29,2026-08-29,ESTIMATED,Carrier West,dealer,150,0,0,2026-08-28,True,1,True,OTHER,INACTIVE
8902000000000000012,9800000012,2026-08-31,2026-08-02,MEASURED,Carrier South,financed-device,200,4,85,2026-08-02,False,29,True,FINANCED_DEVICE,ACTIVE

